Designator,Mid X,Mid Y,Rotation,Layer
R503,132.0,-102.0,90.0,top
R504,138.15,-89.25,270.0,top
R505,131.4,-94.2,270.0,top
R601,111.85,-102.75,90.0,top
R602,109.85,-102.75,90.0,top
R603,92.6,-68.3,90.0,top
R604,102.8,-68.2,90.0,top
R605,113.0,-68.5,90.0,top
R606,123.2,-68.2,90.0,top
R607,91.8,-70.1,0.0,top
R608,102.1,-69.9,0.0,top
R609,112.2,-70.2,0.0,top
R610,122.4,-70.0,0.0,top
R611,133.8,-66.6,90.0,top
R612,130.7,-66.2,180.0,top
R613,97.75,-71.45,270.0,top
R614,107.95,-71.45,270.0,top
R615,109.2,-70.9,90.0,top
R616,118.1,-71.45,270.0,top
R617,119.35,-70.91,90.0,top
R618,128.3,-71.45,270.0,top
R619,129.6,-70.95,90.0,top
R621,99.05,-70.95,90.0,top
R701,146.313,-92.642,180.0,top
R702,150.1,-92.7195,0.0,top
R703,113.2,-109.6,180.0,top
R801,145.385,-104.7,0.0,top
R802,145.75,-107.9,0.0,top
SW501,165.25,-105.95,180.0,top
SW502,165.25,-112.0,180.0,top
U1101,98.9,-93.45,270.0,top
U1102,109.1,-93.45,270.0,top
U1103,119.3,-93.45,270.0,top
U1104,129.5,-93.45,270.0,top
U1200,138.165,-107.25,0.0,top
U1201,138.8,-71.8,270.0,top
U1202,138.8,-61.0,90.0,top
U1203,135.42,-90.15,180.0,top
U201,161.4,-76.05,270.0,top
U202,129.925,-108.385,270.0,top
U203,141.4,-93.95,180.0,top
U401,162.6815,-96.314,180.0,top
U402,175.406708,-85.925,0.0,top
U501,137.05,-99.19,90.0,top
U502,174.7122,-80.45,0.0,top
U601,122.3,-62.0,0.0,top
U602,130.6,-62.0,180.0,top
